0 U (0, 0) [0, 0]
1 L (-1, 0) [0, 0]
2 U (-1, 1) [0, 0]
3 R (0, 1) [0, 0]
4 D (0, 0) [1, 1]
5 L (-1, 0) [1, 1]
6 U (-1, 1) [1, 1]
7 R (0, 1) [1, 1]
8 U (0, 2) [0, 0]
9 R (1, 2) [0, 0]
10 U (1, 3) [0, 0]
11 L (0, 3) [0, 0]
12 U (0, 4) [0, 0]
13 R (1, 4) [0, 0]
14 D (1, 3) [1, 1]
15 L (0, 3) [1, 1]
16 U (0, 4) [1, 1]
17 R (1, 4) [1, 1]
18 D (1, 3) [0, 2]
19 L (0, 3) [0, 2]
20 U (0, 4) [0, 2]
21 R (1, 4) [0, 2]
22 D (1, 3) [1, 3]
23 R (2, 3) [0, 0]
24 D (2, 2) [0, 0]
25 R (3, 2) [0, 0]
26 U (3, 3) [0, 0]
27 L (2, 3) [1, 1]
28 U (2, 4) [0, 0]
29 R (3, 4) [0, 0]
30 D (3, 3) [1, 1]
31 R (4, 3) [0, 0]
32 D (4, 2) [0, 0]
33 R (5, 2) [0, 0]
34 D (5, 1) [0, 0]
35 L (4, 1) [0, 0]
36 U (4, 2) [1, 1]
37 L (3, 2) [1, 1]
38 U (3, 3) [0, 2]
39 R (4, 3) [1, 1]
40 U (4, 4) [0, 0]
41 L (3, 4) [1, 1]
42 D (3, 3) [1, 3]
43 R (4, 3) [0, 2]
44 D (4, 2) [0, 2]
45 L (3, 2) [0, 2]
46 U (3, 3) [0, 4]
47 L (2, 3) [0, 2]
48 D (2, 2) [1, 1]
49 R (3, 2) [1, 3]
50 D (3, 1) [0, 0]
51 L (2, 1) [0, 0]
52 D (2, 0) [0, 0]
53 R (3, 0) [0, 0]
54 D (3, -1) [0, 0]
55 L (2, -1) [0, 0]
56 U (2, 0) [1, 1]
57 L (1, 0) [0, 0]
58 U (1, 1) [0, 0]
59 L (0, 1) [0, 2]
60 D (0, 0) [0, 2]
61 L (-1, 0) [0, 2]
62 U (-1, 1) [0, 2]
63 R (0, 1) [1, 3]
64 U (0, 2) [1, 1]
65 L (-1, 2) [0, 0]
66 U (-1, 3) [0, 0]
67 L (-2, 3) [0, 0]
68 U (-2, 4) [0, 0]
69 R (-1, 4) [0, 0]
70 D (-1, 3) [1, 1]
71 R (0, 3) [1, 3]
72 U (0, 4) [1, 3]
73 L (-1, 4) [1, 1]
74 U (-1, 5) [0, 0]
75 L (-2, 5) [0, 0]
76 U (-2, 6) [0, 0]
77 R (-1, 6) [0, 0]
78 D (-1, 5) [1, 1]
79 R (0, 5) [0, 0]
80 D (0, 4) [0, 4]
81 R (1, 4) [1, 3]
82 D (1, 3) [0, 4]
83 R (2, 3) [1, 3]
84 D (2, 2) [0, 2]
85 L (1, 2) [1, 1]
86 D (1, 1) [1, 1]
87 R (2, 1) [1, 1]
88 U (2, 2) [1, 3]
89 R (3, 2) [0, 4]
90 D (3, 1) [1, 1]
91 R (4, 1) [1, 1]
92 D (4, 0) [0, 0]
93 L (3, 0) [1, 1]
94 U (3, 1) [0, 2]
95 R (4, 1) [0, 2]
96 U (4, 2) [1, 3]
97 R (5, 2) [1, 1]
98 D (5, 1) [1, 1]
99 L (4, 1) [1, 3]
100 D (4, 0) [1, 1]
101 L (3, 0) [0, 2]
102 D (3, -1) [1, 1]
103 R (4, -1) [0, 0]
104 U (4, 0) [0, 2]
105 R (5, 0) [0, 0]
106 D (5, -1) [0, 0]
107 R (6, -1) [0, 0]
108 U (6, 0) [0, 0]
109 L (5, 0) [1, 1]
110 U (5, 1) [0, 2]
111 L (4, 1) [0, 4]
112 U (4, 2) [0, 4]
113 L (3, 2) [1, 5]
114 D (3, 1) [1, 3]
115 R (4, 1) [1, 5]
116 U (4, 2) [1, 5]
117 L (3, 2) [0, 6]
118 U (3, 3) [1, 5]
119 L (2, 3) [0, 4]
120 D (2, 2) [0, 4]
121 L (1, 2) [0, 2]
122 U (1, 3) [1, 5]
123 L (0, 3) [0, 4]
124 D (0, 2) [0, 2]
125 R (1, 2) [1, 3]
126 D (1, 1) [0, 2]
127 R (2, 1) [0, 2]
128 D (2, 0) [0, 2]
129 R (3, 0) [1, 3]
130 U (3, 1) [0, 4]
131 R (4, 1) [0, 6]
132 D (4, 0) [1, 3]
133 L (3, 0) [0, 4]
134 U (3, 1) [1, 5]
135 L (2, 1) [1, 3]
136 U (2, 2) [1, 5]
137 L (1, 2) [0, 4]
138 U (1, 3) [0, 6]
139 R (2, 3) [1, 5]
140 D (2, 2) [0, 6]
141 L (1, 2) [1, 5]
142 D (1, 1) [1, 3]
143 L (0, 1) [0, 4]
144 U (0, 2) [1, 3]
145 R (1, 2) [0, 6]
146 U (1, 3) [1, 7]
147 R (2, 3) [0, 6]
148 D (2, 2) [1, 7]
149 R (3, 2) [1, 7]
150 D (3, 1) [0, 6]
151 L (2, 1) [0, 4]
152 D (2, 0) [1, 3]
153 L (1, 0) [1, 1]
154 D (1, -1) [0, 0]
155 R (2, -1) [1, 1]
156 U (2, 0) [0, 4]
157 L (1, 0) [0, 2]
158 U (1, 1) [0, 4]
159 L (0, 1) [1, 5]
160 U (0, 2) [0, 4]
161 R (1, 2) [1, 7]
162 U (1, 3) [0, 8]
163 L (0, 3) [1, 5]
164 U (0, 4) [1, 5]
165 L (-1, 4) [0, 2]
166 D (-1, 3) [0, 2]
167 L (-2, 3) [1, 1]
168 D (-2, 2) [0, 0]
169 L (-3, 2) [0, 0]
170 D (-3, 1) [0, 0]
171 L (-4, 1) [0, 0]
172 D (-4, 0) [0, 0]
173 L (-5, 0) [0, 0]
174 D (-5, -1) [0, 0]
175 R (-4, -1) [0, 0]
176 D (-4, -2) [0, 0]
177 L (-5, -2) [0, 0]
178 D (-5, -3) [0, 0]
179 L (-6, -3) [0, 0]
180 U (-6, -2) [0, 0]
181 R (-5, -2) [1, 1]
182 U (-5, -1) [1, 1]
183 L (-6, -1) [0, 0]
184 U (-6, 0) [0, 0]
185 R (-5, 0) [1, 1]
186 U (-5, 1) [0, 0]
187 R (-4, 1) [1, 1]
188 U (-4, 2) [0, 0]
189 R (-3, 2) [1, 1]
190 U (-3, 3) [0, 0]
191 R (-2, 3) [0, 2]
192 U (-2, 4) [1, 1]
193 R (-1, 4) [1, 3]
194 U (-1, 5) [0, 2]
195 R (0, 5) [1, 1]
196 D (0, 4) [0, 6]
197 L (-1, 4) [0, 4]
198 D (-1, 3) [1, 3]
199 R (0, 3) [0, 6]
200 U (0, 4) [1, 7]
201 L (-1, 4) [1, 5]
202 D (-1, 3) [0, 4]
203 R (0, 3) [1, 7]
204 D (0, 2) [1, 5]
205 R (1, 2) [0, 8]
206 U (1, 3) [1, 9]
207 L (0, 3) [0, 8]
208 U (0, 4) [0, 8]
209 L (-1, 4) [0, 6]
210 U (-1, 5) [1, 3]
211 R (0, 5) [0, 2]
212 U (0, 6) [0, 0]
213 R (1, 6) [0, 0]
214 U (1, 7) [0, 0]
215 L (0, 7) [0, 0]
216 U (0, 8) [0, 0]
217 L (-1, 8) [0, 0]
